Name,Score,Japanese name,Type,Favorites,Completed
Fushigi Yuugi OVA,7.16,ふしぎ遊戯,OVA,94,15715
Fushigi Yuugi: Dai Ni Bu,7.27,ふしぎ遊戯　第二部,OVA,77,13694
Futari Ecchi,6.37,ふたりエッチ,OVA,41,20234
Galaxy Angel,7.03,ギャラクシーエンジェル,TV,182,12598
Gantz,7.05,ガンツ,TV,2353,181377
Gilgamesh,6.65,ギルガメッシュ,TV,173,10972
H2,7.27,Ｈ２[エイチ・ツー],TV,24,3394
Haibane Renmei,7.99,灰羽連盟,TV,5890,94017
Capeta,7.83,カペタ,TV,240,11499
Karas,7.42,鴉 -KARAS-,OVA,325,31891
Suzuka,7.22,涼風,TV,688,60350
Tales of Phantasia The Animation,6.82,テイルズ オブ ファンタジア THE ANIMATION,OVA,48,12771
Yuu☆Yuu☆Hakusho,8.45,幽☆遊☆白書,TV,17768,255542
Escaflowne,7.08,エスカフローネ,Movie,188,38313
Ai Yori Aoshi: Enishi,7.16,藍より青し～縁～,TV,88,39986
